dataset,feature_name,horizon_sec,level,negative_count,positive_count,total_count,positive_rate,overall_training_fraction,rare_level_under_1_percent_or_50_rows
individual,location_id,2,KB,4506,942,5448,0.17290748898678415,0.19361029176587655,False
individual,location_id,3,BM,6579,1069,7648,0.13977510460251047,0.2717935960766196,False
individual,location_id,3,BS,1309,363,1672,0.21710526315789475,0.05941931127616475,False
individual,location_id,3,FG,8743,1906,10649,0.1789839421541929,0.3784427307295924,False
individual,location_id,3,ITC,914,344,1258,0.27344992050874406,0.04470663491950674,False
individual,location_id,3,JG,1382,82,1464,0.056010928961748634,0.05202743523223995,False
individual,location_id,3,KB,4045,1403,5448,0.25752569750367105,0.19361029176587655,False
individual,traffic_period,1,off_peak,5158,233,5391,0.04322018178445557,0.19158463342691637,False
individual,traffic_period,1,peak,21236,1512,22748,0.06646738174784596,0.8084153665730837,False
individual,traffic_period,2,off_peak,4710,681,5391,0.12632164718976072,0.19158463342691637,False
individual,traffic_period,2,peak,19628,3120,22748,0.13715491471777738,0.8084153665730837,False
individual,traffic_period,3,off_peak,4361,1030,5391,0.1910591726952328,0.19158463342691637,False
individual,traffic_period,3,peak,18611,4137,22748,0.1818621417267452,0.8084153665730837,False
